No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,Time 2,Time 1,Delay 2,Delay 1,Jitter
330,19.56594194,192.168.1.1,192.168.1.2,TCP,8618,"54384  >  5001 [PSH, ACK] Seq=71089 Ack=1 Win=42496 Len=8552 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.55354867,19.56594194,4.51E-05,-0.012393267,0.012438397
331,19.55354867,192.168.1.2,192.168.1.1,TCP,74,"[TCP Retransmission] 5001  >  54382 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=2680708445 TSecr=316238665 WS=512",,,,,,,,,,,,,19.5535938,19.55354867,0.001523551,4.51E-05,0.001478421
332,19.5535938,192.168.1.1,192.168.1.2,TCP,66,[TCP Keep-Alive] 54382  >  5001 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=316238678 TSecr=2680708445,,,,,,,,,,,,,19.55511735,19.5535938,0.002306175,0.001523551,0.000782624
333,19.55511735,192.168.1.1,192.168.1.2,TCP,66,"[TCP Retransmission] 54382  >  5001 [FIN, ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=316238679 TSecr=2680708445",,,,,,,,,,,,,19.55742353,19.55511735,3.61E-05,0.002306175,-0.002270104
334,19.55742353,192.168.1.2,192.168.1.1,TCP,66,"[TCP Out-Of-Order] 5001  >  54382 [FIN, ACK] Seq=1 Ack=2 Win=43520 Len=0 TSval=2680708456 TSecr=316238679",,,,,,,,,,,,,19.5574596,19.55742353,0.008495645,3.61E-05,0.008459574
335,19.5574596,192.168.1.1,192.168.1.2,TCP,66,54382  >  5001 [ACK] Seq=2 Ack=2 Win=42496 Len=0 TSval=316238682 TSecr=2680708456,,,,,,,,,,,,,19.56595524,19.5574596,-0.002273629,0.008495645,-0.010769274
336,19.56595524,192.168.1.1,192.168.1.2,TCP,21786,"54384  >  5001 [PSH, ACK] Seq=79641 Ack=1 Win=42496 Len=21720 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56368162,19.56595524,0.000106035,-0.002273629,0.002379664
337,19.56368162,192.168.1.1,192.168.1.2,TCP,74,[TCP Retransmission] 54384  >  5001 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=316238688 TSecr=0 WS=512,,,,,,,,,,,,,19.56378765,19.56368162,6.33E-05,0.000106035,-4.27E-05
338,19.56378765,192.168.1.2,192.168.1.1,TCP,74,"[TCP Out-Of-Order] 5001  >  54384 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=2680708462 TSecr=316238688 WS=512",,,,,,,,,,,,,19.56385099,19.56378765,0.002115606,6.33E-05,0.002052268
339,19.56385099,192.168.1.1,192.168.1.2,TCP,66,54384  >  5001 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=316238688 TSecr=2680708462,,,,,,,,,,,,,19.56596659,19.56385099,2.09E-05,0.002115606,-0.002094657
